License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,313,N,248,1269,5,56,44,13,0,0,56,0,7,38
2004,313,R,1285,4135,3,465,70,370,25,1,463,3,7,57
2004,313,SUM,1533,5404,4,521,113,382,25,1,520,3,13,95
2005,313,N,498,2812,6,127,106,21,0,3,124,8,21,78
2005,313,R,971,4654,5,300,191,107,1,14,283,6,20,166
2005,313,SUM,1469,7466,5,426,297,128,1,16,407,13,40,244
2006,313,N,995,5471,6,314,294,16,0,23,292,0,68,226
2006,313,R,1049,5337,5,140,111,29,0,18,121,0,34,76
2006,313,SUM,2044,10808,5,454,405,45,0,41,413,0,102,303
2007,313,N,569,3325,6,78,78,0,0,10,68,0,30,47
2007,313,R,723,4540,6,67,38,19,10,10,57,0,24,14
2007,313,SUM,1292,7865,6,144,116,19,10,20,125,0,54,62
2008,313,N,251,1525,6,73,63,10,0,0,73,0,27,37
2008,313,R,920,5398,6,81,18,63,0,18,63,0,6,12
2008,313,SUM,1171,6923,6,154,81,73,0,18,136,0,33,49
2009,313,N,253,1487,6,72,64,8,0,6,66,0,29,34
2009,313,R,913,5398,6,155,59,89,6,9,146,6,25,28
2009,313,SUM,1166,6885,6,226,123,97,6,15,212,6,54,63
2010,313,N,407,2178,5,119,111,6,3,0,119,0,44,66
2010,313,R,890,5646,6,274,191,81,3,11,263,0,50,141
2010,313,SUM,1297,7824,6,393,301,86,6,11,382,0,94,208
2011,313,N,372,2136,6,103,100,3,0,1,102,0,45,55
2011,313,R,817,4618,6,121,61,60,0,11,110,0,31,31
2011,313,SUM,1189,6754,6,224,161,63,0,12,212,0,76,85
2012,313,N,424,2349,6,106,103,3,0,8,98,0,57,46
2012,313,R,517,3444,7,79,64,15,0,3,76,0,21,43
2012,313,SUM,941,5792,6,185,167,18,0,11,174,0,78,89
2013,313,N,0,0,0,121,121,0,0,3,119,0,58,63
2013,313,R,0,0,0,66,44,22,0,11,55,0,19,25
2013,313,SUM,0,0,0,187,165,22,0,14,174,0,78,88
2014,313,N,437,2364,5,162,157,3,3,11,152,0,82,74
2014,313,R,580,4412,8,186,158,28,0,8,178,0,81,78
2014,313,SUM,1017,6776,7,349,315,31,3,19,330,0,163,152
2015,313,N,470,2884,6,239,236,3,0,5,234,0,105,131
2015,313,R,848,5755,7,270,236,32,2,12,253,0,93,143
2015,313,SUM,1318,8639,7,509,472,35,2,18,487,0,199,274
2016,313,N,368,2480,7,53,50,3,0,6,47,0,43,7
2016,313,R,688,4668,7,102,53,49,0,6,95,0,34,19
2016,313,SUM,1055,7149,7,154,103,52,0,13,142,0,77,26
2017,313,N,0,0,0,150,150,0,0,23,127,3,88,60
2017,313,R,0,0,0,214,155,56,3,17,197,3,61,91
2017,313,SUM,0,0,0,364,305,56,3,40,324,6,149,151
2018,313,N,362,2148,6,129,120,9,0,3,126,0,68,51
2018,313,R,813,5188,6,182,110,66,5,16,166,6,66,38
2018,313,SUM,1175,7336,6,310,230,75,5,19,292,6,135,89
2019,313,N,0,0,0,132,119,12,0,6,126,0,68,51
2019,313,R,0,0,0,189,117,72,0,21,168,6,72,39
2019,313,SUM,0,0,0,321,237,84,0,27,294,6,141,90
