License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,316,N,228,1228,5,52,48,3,0,0,52,0,10,39
2004,316,R,153,922,6,8,6,3,0,0,8,0,3,3
2004,316,SUM,381,2150,6,60,54,6,0,0,60,0,13,41
2005,316,N,73,454,6,23,16,8,0,0,23,3,0,13
2005,316,R,79,313,4,8,6,3,0,3,6,0,0,6
2005,316,SUM,152,767,5,32,21,11,0,3,29,3,0,19
2006,316,N,131,834,6,26,15,11,0,0,26,0,0,15
2006,316,R,54,344,6,7,0,4,0,0,4,0,0,0
2006,316,SUM,185,1178,6,34,15,15,0,0,30,0,0,15
2007,316,N,98,631,6,20,20,0,0,0,20,0,7,14
2007,316,R,121,1072,9,14,5,10,0,0,14,5,0,0
2007,316,SUM,220,1703,8,35,25,10,0,0,35,5,7,14
2008,316,N,42,267,6,14,11,3,0,0,14,0,6,6
2008,316,R,127,922,7,3,0,3,0,0,3,0,0,0
2008,316,SUM,168,1189,7,17,11,6,0,0,17,0,6,6
2009,316,N,37,229,6,12,12,0,0,3,9,0,12,0
2009,316,R,146,821,6,23,9,13,0,3,20,0,6,3
2009,316,SUM,183,1050,6,34,21,13,0,6,28,0,18,3
2010,316,N,45,212,5,22,17,6,0,0,22,0,6,11
2010,316,R,118,702,6,22,11,11,0,3,20,0,0,11
2010,316,SUM,163,913,6,44,28,17,0,3,42,0,6,22
2011,316,N,28,161,6,3,3,0,0,0,3,0,0,3
2011,316,R,88,391,4,8,0,8,0,0,8,0,0,0
2011,316,SUM,117,552,5,11,3,8,0,0,11,0,0,3
2012,316,N,34,210,6,8,8,0,0,3,6,0,3,6
2012,316,R,97,677,7,6,3,3,0,0,6,0,3,0
2012,316,SUM,131,887,7,14,11,3,0,3,11,0,6,6
2014,316,N,48,343,7,9,6,3,0,0,9,0,3,3
2014,316,R,60,425,7,3,3,0,0,0,3,0,3,0
2014,316,SUM,108,768,7,11,9,3,0,0,11,0,6,3
2015,316,N,25,97,4,3,0,3,0,0,3,0,0,0
2015,316,R,69,359,5,6,3,3,0,0,6,0,3,0
2015,316,SUM,94,456,5,9,3,6,0,0,9,0,3,0
2016,316,N,39,209,5,10,10,0,0,0,10,0,3,6
2016,316,R,95,826,9,6,6,0,0,0,6,0,0,6
2016,316,SUM,134,1034,8,16,16,0,0,0,16,0,3,13
2017,316,N,0,0,0,14,14,0,0,0,14,0,6,9
2017,316,R,0,0,0,9,9,0,0,0,9,0,6,3
2017,316,SUM,0,0,0,23,23,0,0,0,23,0,11,11
2018,316,N,70,423,6,17,17,0,0,0,17,0,11,6
2018,316,R,72,339,5,13,6,3,3,0,13,0,3,3
2018,316,SUM,142,762,5,30,23,3,3,0,30,0,15,9
2019,316,N,0,0,0,11,9,2,0,0,11,0,6,3
2019,316,R,0,0,0,11,6,5,0,0,11,0,3,3
2019,316,SUM,0,0,0,22,15,7,0,0,22,0,9,6
